content,score,Label,text_clean,text_Stopword,text_tokens,text_tokens_stemmed,Label NB
Sangat membantu,5,positif,sangat membantu,membantu,['membantu'],bantu,positif
Jobstreet sangat membantu dalam pencarian informasi lowongan kerja,5,positif,jobstreet sangat membantu dalam pencarian informasi lowongan kerja,jobstreet membantu pencarian informasi lowongan kerja,"['jobstreet', 'membantu', 'pencarian', 'informasi', 'lowongan', 'kerja']",jobstreet bantu cari informasi lowong kerja,positif
Sangat membantu,5,positif,sangat membantu,membantu,['membantu'],bantu,positif
Ok,5,positif,ok,ok,['ok'],ok,positif
Sangat berguna dan meembantu para pencari job mohon untuk di tingkatkan,5,positif,sangat berguna dan meembantu para pencari job mohon untuk di tingkatkan,berguna meembantu pencari job mohon tingkatkan,"['berguna', 'meembantu', 'pencari', 'job', 'mohon', 'tingkatkan']",guna meembantu cari job mohon tingkat,positif
Jobstreet sangat membantu para pencari kerja sesuai dengan jurusan dan wilayah pekerjaan yang diinginkan serta dapat mengasah karir,5,positif,jobstreet sangat membantu para pencari kerja sesuai dengan jurusan dan wilayah pekerjaan yang diinginkan serta dapat mengasah karir,jobstreet membantu pencari kerja sesuai jurusan wilayah pekerjaan mengasah karir,"['jobstreet', 'membantu', 'pencari', 'kerja', 'sesuai', 'jurusan', 'wilayah', 'pekerjaan', 'mengasah', 'karir']",jobstreet bantu cari kerja sesuai jurus wilayah kerja asah karir,positif
Sangat membantu untuk mencari pekerjaan,5,positif,sangat membantu untuk mencari pekerjaan,membantu mencari pekerjaan,"['membantu', 'mencari', 'pekerjaan']",bantu cari kerja,positif
Nun,4,positif,nun,nun,['nun'],nun,positif
Aplikasi Jobstreet ini sangat membantu sekali dalam mendapatkan pekerjaan yang sesuai dengan latar belakang pendidikan dan pengalaman kerja yang saya miliki selama ini.,5,positif,aplikasi jobstreet ini sangat membantu sekali dalam mendapatkan pekerjaan yang sesuai dengan latar belakang pendidikan dan pengalaman kerja yang saya miliki selama ini,aplikasi jobstreet membantu pekerjaan sesuai latar pendidikan pengalaman kerja miliki,"['aplikasi', 'jobstreet', 'membantu', 'pekerjaan', 'sesuai', 'latar', 'pendidikan', 'pengalaman', 'kerja', 'miliki']",aplikasi jobstreet bantu kerja sesuai latar didik alam kerja milik,positif
"Terimakasih,sangat membantu",5,positif,terimakasihsangat membantu,terimakasihsangat membantu,"['terimakasihsangat', 'membantu']",terimakasihsangat bantu,positif
Good,5,positif,good,good,['good'],good,positif
Cari Pekerjaan Murni,5,positif,cari pekerjaan murni,cari pekerjaan murni,"['cari', 'pekerjaan', 'murni']",cari kerja murni,positif
"Penipuan, daripada ngabisin waktu ngisi ini itu di panggil kagak",1,negatif,penipuan daripada ngabisin waktu ngisi ini itu di panggil kagak,penipuan ngabisin ngisi panggil kagak,"['penipuan', 'ngabisin', 'ngisi', 'panggil', 'kagak']",tipu ngabisin ngisi panggil kagak,negatif
Sudah ratusan kali melamar loker disini tidak satupun dapat panggilan kerja padahal sudah memenuhi persyaratan yang diminta oleh Perusahaan yang butuh pekerja !,1,negatif,sudah ratusan kali melamar loker disini tidak satupun dapat panggilan kerja padahal sudah memenuhi persyaratan yang diminta oleh perusahaan yang butuh pekerja ,ratusan kali melamar loker satupun panggilan kerja memenuhi persyaratan perusahaan butuh pekerja,"['ratusan', 'kali', 'melamar', 'loker', 'satupun', 'panggilan', 'kerja', 'memenuhi', 'persyaratan', 'perusahaan', 'butuh', 'pekerja']",ratus kali lamar loker satu panggil kerja penuh syarat usaha butuh kerja,negatif
"seriusan bete banget udah nyoba login beberapa kali tapi tetep aja gabisa, pake email gabisa, pake google gabisa, aneh",1,negatif,seriusan bete banget udah nyoba login beberapa kali tapi tetep aja gabisa pake email gabisa pake google gabisa aneh,seriusan bete banget udah nyoba login kali tetep aja gabisa pake email gabisa pake google gabisa aneh,"['seriusan', 'bete', 'banget', 'udah', 'nyoba', 'login', 'kali', 'tetep', 'aja', 'gabisa', 'pake', 'email', 'gabisa', 'pake', 'google', 'gabisa', 'aneh']",serius bete banget udah nyoba login kali tetep aja gabisa pake email gabisa pake google gabisa aneh,negatif
tolong fokuskan loker sama nama kotaaaa.,1,negatif,tolong fokuskan loker sama nama kotaaaa,tolong fokuskan loker nama kotaaaa,"['tolong', 'fokuskan', 'loker', 'nama', 'kotaaaa']",tolong fokus loker nama kotaaaa,negatif
Jelek,1,negatif,jelek,jelek,['jelek'],jelek,negatif
Apk sampah asw udh lama g buka apk tiba2 logout sendiri trus login lg g bisa lebih dari 5 kali g bisa2 developer payah,1,negatif,apk sampah asw udh lama g buka apk tiba2 logout sendiri trus login lg g bisa lebih dari 5 kali g bisa2 developer payah,apk sampah asw udh g buka apk tiba2 logout trus login lg g 5 kali g bisa2 developer payah,"['apk', 'sampah', 'asw', 'udh', 'g', 'buka', 'apk', 'tiba2', 'logout', 'trus', 'login', 'lg', 'g', '5', 'kali', 'g', 'bisa2', 'developer', 'payah']",apk sampah asw udh g buka apk tiba2 logout trus login lg g 5 kali g bisa2 developer payah,negatif
Mantap,5,positif,mantap,mantap,['mantap'],mantap,positif
Saya kecewa karena saya ga pernah dapet pekerjaan dan panggilan dari aplikasi ini,1,negatif,saya kecewa karena saya ga pernah dapet pekerjaan dan panggilan dari aplikasi ini,kecewa ga dapet pekerjaan panggilan aplikasi,"['kecewa', 'ga', 'dapet', 'pekerjaan', 'panggilan', 'aplikasi']",kecewa ga dapet kerja panggil aplikasi,negatif
Bahasa inggris semua saya ga ngerti apakah bisa di setel bahasa Indonesia,2,negatif,bahasa inggris semua saya ga ngerti apakah bisa di setel bahasa indonesia,bahasa inggris ga ngerti setel bahasa indonesia,"['bahasa', 'inggris', 'ga', 'ngerti', 'setel', 'bahasa', 'indonesia']",bahasa inggris ga ngerti setel bahasa indonesia,negatif
Asu,1,negatif,asu,asu,['asu'],asu,negatif
"Maaf banyak penipuan, nomor jadi tersebar",1,negatif,maaf banyak penipuan nomor jadi tersebar,maaf penipuan nomor tersebar,"['maaf', 'penipuan', 'nomor', 'tersebar']",maaf tipu nomor sebar,negatif
Tolong developer pihak perusahaan harus wajib mengisi salary/gaji di perusahaannya biar kami para pencari kerja merasa cocok dengan gaji di perusahaan yang sedang buka lowongan... Itu harus di wajibkan mengisi salary dan benefitnya untuk pihak HRD,1,negatif,tolong developer pihak perusahaan harus wajib mengisi salarygaji di perusahaannya biar kami para pencari kerja merasa cocok dengan gaji di perusahaan yang sedang buka lowongan itu harus di wajibkan mengisi salary dan benefitnya untuk pihak hrd,tolong developer perusahaan wajib mengisi salarygaji perusahaannya biar pencari kerja cocok gaji perusahaan buka lowongan wajibkan mengisi salary benefitnya hrd,"['tolong', 'developer', 'perusahaan', 'wajib', 'mengisi', 'salarygaji', 'perusahaannya', 'biar', 'pencari', 'kerja', 'cocok', 'gaji', 'perusahaan', 'buka', 'lowongan', 'wajibkan', 'mengisi', 'salary', 'benefitnya', 'hrd']",tolong developer usaha wajib isi salarygaji usaha biar cari kerja cocok gaji usaha buka lowong wajib isi salary benefitnya hrd,negatif
"Wkwk aplikasi banyak zoonk nya saya mendapat panggilan interview kerja di berbagai pt dan perusaan berbagai loker melalui WA melalui email sudah 8x lebih tidak saya tanggepi karna saat saya membuka alamat goggle map nya isinya 2 tempat dan tidak berubah padahal beda"" perusahaan tidak recomend bnget ini aplikasi terimakasih",1,negatif,wkwk aplikasi banyak zoonk nya saya mendapat panggilan interview kerja di berbagai pt dan perusaan berbagai loker melalui wa melalui email sudah 8x lebih tidak saya tanggepi karna saat saya membuka alamat goggle map nya isinya 2 tempat dan tidak berubah padahal beda perusahaan tidak recomend bnget ini aplikasi terimakasih,wkwk aplikasi zoonk nya panggilan interview kerja pt perusaan loker wa email 8x tanggepi karna membuka alamat goggle map nya isinya 2 berubah beda perusahaan recomend bnget aplikasi terimakasih,"['wkwk', 'aplikasi', 'zoonk', 'nya', 'panggilan', 'interview', 'kerja', 'pt', 'perusaan', 'loker', 'wa', 'email', '8x', 'tanggepi', 'karna', 'membuka', 'alamat', 'goggle', 'map', 'nya', 'isinya', '2', 'berubah', 'beda', 'perusahaan', 'recomend', 'bnget', 'aplikasi', 'terimakasih']",wkwk aplikasi zoonk nya panggil interview kerja pt rusa loker wa email 8x tanggepi karna buka alamat goggle map nya isi 2 ubah beda usaha recomend bnget aplikasi terimakasih,negatif
Jngn download!!!! Buang² wktu. Bnyk loker yg udh kadaluarsa juga msih d posting.,1,negatif,jngn download buang wktu bnyk loker yg udh kadaluarsa juga msih d posting,jngn download buang wktu bnyk loker yg udh kadaluarsa msih d posting,"['jngn', 'download', 'buang', 'wktu', 'bnyk', 'loker', 'yg', 'udh', 'kadaluarsa', 'msih', 'd', 'posting']",jngn download buang wktu bnyk loker yg udh kadaluarsa msih d posting,negatif
the best platform for job search and companies looking for workers,5,positif,the best platform for job search and companies looking for workers,the best platform for job search and companies looking for workers,"['the', 'best', 'platform', 'for', 'job', 'search', 'and', 'companies', 'looking', 'for', 'workers']",the best platform for job search and companies looking for workers,positif
"Hapus aja aplikasi nya , Orang pada kasihan, Jauh² Datang interview malah kena Tipu. Baru bisa kerja di bayar dulu nyampek jutaan.",1,negatif,hapus aja aplikasi nya  orang pada kasihan jauh datang interview malah kena tipu baru bisa kerja di bayar dulu nyampek jutaan,hapus aja aplikasi nya orang kasihan interview kena tipu kerja bayar nyampek jutaan,"['hapus', 'aja', 'aplikasi', 'nya', 'orang', 'kasihan', 'interview', 'kena', 'tipu', 'kerja', 'bayar', 'nyampek', 'jutaan']",hapus aja aplikasi nya orang kasihan interview kena tipu kerja bayar nyampek juta,negatif
Update mulu tapi masih banyak loker hoax 🙄,1,negatif,update mulu tapi masih banyak loker hoax ,update mulu loker hoax,"['update', 'mulu', 'loker', 'hoax']",update mulu loker hoax,negatif
"Pendidikan dan pengalaman kerja yang sesuai dengan yang diminta bahkan lebih dari ekspektasi. lamaran segera di apply, baru 1 -2 hari bahkan saat beberapa jam diposting, notif awal lamaran Sdh terkirim dan bahkan dilihat oleh perusahaan, namun selang 1 -2 minggu bahkan lebih, muncul notif lamaran sudah ditutup. Apakah CV harus selalu di-update keahlian yang diminta perusahaan yang memposting loker? dan apakah perusahaan yg tidak mensyaratkan usia, tetap memperhatikan usia juga? Tq",5,positif,pendidikan dan pengalaman kerja yang sesuai dengan yang diminta bahkan lebih dari ekspektasi lamaran segera di apply baru 1 2 hari bahkan saat beberapa jam diposting notif awal lamaran sdh terkirim dan bahkan dilihat oleh perusahaan namun selang 1 2 minggu bahkan lebih muncul notif lamaran sudah ditutup apakah cv harus selalu diupdate keahlian yang diminta perusahaan yang memposting loker dan apakah perusahaan yg tidak mensyaratkan usia tetap memperhatikan usia juga tq,pendidikan pengalaman kerja sesuai ekspektasi lamaran apply 1 2 jam diposting notif lamaran sdh terkirim perusahaan selang 1 2 minggu muncul notif lamaran ditutup cv diupdate keahlian perusahaan memposting loker perusahaan yg mensyaratkan usia memperhatikan usia tq,"['pendidikan', 'pengalaman', 'kerja', 'sesuai', 'ekspektasi', 'lamaran', 'apply', '1', '2', 'jam', 'diposting', 'notif', 'lamaran', 'sdh', 'terkirim', 'perusahaan', 'selang', '1', '2', 'minggu', 'muncul', 'notif', 'lamaran', 'ditutup', 'cv', 'diupdate', 'keahlian', 'perusahaan', 'memposting', 'loker', 'perusahaan', 'yg', 'mensyaratkan', 'usia', 'memperhatikan', 'usia', 'tq']",didik alam kerja sesuai ekspektasi lamar apply 1 2 jam diposting notif lamar sdh kirim usaha selang 1 2 minggu muncul notif lamar tutup cv diupdate ahli usaha memposting loker usaha yg syarat usia perhati usia tq,negatif
"Mencari lokasi yang di tentukan , tapi keluarnya lokasi lain yang amat sangat jauh, dan banyak lowongan penipuan",1,negatif,mencari lokasi yang di tentukan  tapi keluarnya lokasi lain yang amat sangat jauh dan banyak lowongan penipuan,mencari lokasi tentukan keluarnya lokasi lowongan penipuan,"['mencari', 'lokasi', 'tentukan', 'keluarnya', 'lokasi', 'lowongan', 'penipuan']",cari lokasi tentu keluar lokasi lowong tipu,negatif
"Loker di jobstreet hoax rata"". Padahal udh naro lamaran di PT. tiba"" lamaran kadaluarsa atau tidak menerima lamaran lagi.padahal ada tanggal pas buka nya loker di PT tersebut.baru baru lamar.beberapa Minggu kemudian keterangan nya tidak menerima lamaran lagi.",1,negatif,loker di jobstreet hoax rata padahal udh naro lamaran di pt tiba lamaran kadaluarsa atau tidak menerima lamaran lagipadahal ada tanggal pas buka nya loker di pt tersebutbaru baru lamarbeberapa minggu kemudian keterangan nya tidak menerima lamaran lagi,loker jobstreet hoax udh naro lamaran pt lamaran kadaluarsa menerima lamaran lagipadahal tanggal pas buka nya loker pt tersebutbaru lamarbeberapa minggu keterangan nya menerima lamaran,"['loker', 'jobstreet', 'hoax', 'udh', 'naro', 'lamaran', 'pt', 'lamaran', 'kadaluarsa', 'menerima', 'lamaran', 'lagipadahal', 'tanggal', 'pas', 'buka', 'nya', 'loker', 'pt', 'tersebutbaru', 'lamarbeberapa', 'minggu', 'keterangan', 'nya', 'menerima', 'lamaran']",loker jobstreet hoax udh naro lamar pt lamar kadaluarsa terima lamar lagipadahal tanggal pas buka nya loker pt tersebutbaru lamarbeberapa minggu terang nya terima lamar,negatif
Bagaimana cara menemukan passion dalam karir? Apakah melalui pengalaman atau pendidikan?,5,positif,bagaimana cara menemukan passion dalam karir apakah melalui pengalaman atau pendidikan,menemukan passion karir pengalaman pendidikan,"['menemukan', 'passion', 'karir', 'pengalaman', 'pendidikan']",temu passion karir alam didik,positif
Bagus untuk mencari lowongan pekerjaan,5,positif,bagus untuk mencari lowongan pekerjaan,bagus mencari lowongan pekerjaan,"['bagus', 'mencari', 'lowongan', 'pekerjaan']",bagus cari lowong kerja,positif
Apa manfaat aplikasi Jobstreet ini ? Apakah bermanfaat untuk mencari Kerja?,5,positif,apa manfaat aplikasi jobstreet ini  apakah bermanfaat untuk mencari kerja,manfaat aplikasi jobstreet bermanfaat mencari kerja,"['manfaat', 'aplikasi', 'jobstreet', 'bermanfaat', 'mencari', 'kerja']",manfaat aplikasi jobstreet manfaat cari kerja,positif
"Semoga ini aplikasi selalu aktif dan terus maju, saya kerja dari dulu sudah pindah 3 tempat bahkan banyak panggilan kerja dari apk ini..terimakasih jobstreet",5,positif,semoga ini aplikasi selalu aktif dan terus maju saya kerja dari dulu sudah pindah 3 tempat bahkan banyak panggilan kerja dari apk initerimakasih jobstreet,semoga aplikasi aktif maju kerja pindah 3 panggilan kerja apk initerimakasih jobstreet,"['semoga', 'aplikasi', 'aktif', 'maju', 'kerja', 'pindah', '3', 'panggilan', 'kerja', 'apk', 'initerimakasih', 'jobstreet']",moga aplikasi aktif maju kerja pindah 3 panggil kerja apk initerimakasih jobstreet,positif
Bersyukur dan terima kasih banyak untuk jobstreet Karena mempermudah saya dalam mencari kerja,5,positif,bersyukur dan terima kasih banyak untuk jobstreet karena mempermudah saya dalam mencari kerja,bersyukur terima kasih jobstreet mempermudah mencari kerja,"['bersyukur', 'terima', 'kasih', 'jobstreet', 'mempermudah', 'mencari', 'kerja']",syukur terima kasih jobstreet mudah cari kerja,positif
Tolong pihak ini loker hoax Mulu kebanyakan,1,negatif,tolong pihak ini loker hoax mulu kebanyakan,tolong loker hoax mulu kebanyakan,"['tolong', 'loker', 'hoax', 'mulu', 'kebanyakan']",tolong loker hoax mulu banyak,negatif
"Nah kalau dilihat sekarang jauh lebih baik. Tapi, boleh gak buat admin jobstreet, kalau ngiklanin lowongan kerja, tolong sertakan nama perusahaan nya dong jangan cuma nama pengiklan anonimous. Kesannya saya jadi curiga, takut dan kurang tau dari perusahaan mana yang ngasih iklan lowongan. Itu aja jobstreet kedepannya harus jelas juga nama perusahaan yang di iklankan biar gak kena penipuan dari oknum pt gadungan. Thanks",5,positif,nah kalau dilihat sekarang jauh lebih baik tapi boleh gak buat admin jobstreet kalau ngiklanin lowongan kerja tolong sertakan nama perusahaan nya dong jangan cuma nama pengiklan anonimous kesannya saya jadi curiga takut dan kurang tau dari perusahaan mana yang ngasih iklan lowongan itu aja jobstreet kedepannya harus jelas juga nama perusahaan yang di iklankan biar gak kena penipuan dari oknum pt gadungan thanks,gak admin jobstreet ngiklanin lowongan kerja tolong sertakan nama perusahaan nya nama pengiklan anonimous kesannya curiga takut tau perusahaan ngasih iklan lowongan aja jobstreet kedepannya nama perusahaan iklankan biar gak kena penipuan oknum pt gadungan thanks,"['gak', 'admin', 'jobstreet', 'ngiklanin', 'lowongan', 'kerja', 'tolong', 'sertakan', 'nama', 'perusahaan', 'nya', 'nama', 'pengiklan', 'anonimous', 'kesannya', 'curiga', 'takut', 'tau', 'perusahaan', 'ngasih', 'iklan', 'lowongan', 'aja', 'jobstreet', 'kedepannya', 'nama', 'perusahaan', 'iklankan', 'biar', 'gak', 'kena', 'penipuan', 'oknum', 'pt', 'gadungan', 'thanks']",gak admin jobstreet ngiklanin lowong kerja tolong serta nama usaha nya nama iklan anonimous kesan curiga takut tau usaha ngasih iklan lowong aja jobstreet depan nama usaha iklan biar gak kena tipu oknum pt gadungan thanks,negatif
"Terimakasih jobstreet,karena jobstreet saya tidak menjadi beban ortu",5,positif,terimakasih jobstreetkarena jobstreet saya tidak menjadi beban ortu,terimakasih jobstreetkarena jobstreet beban ortu,"['terimakasih', 'jobstreetkarena', 'jobstreet', 'beban', 'ortu']",terimakasih jobstreetkarena jobstreet beban ortu,positif
Sangat membantu informasinya meskipun sy blm mendapatkan job sesuai spek yg kami miliki,5,positif,sangat membantu informasinya meskipun sy blm mendapatkan job sesuai spek yg kami miliki,membantu informasinya sy blm job sesuai spek yg miliki,"['membantu', 'informasinya', 'sy', 'blm', 'job', 'sesuai', 'spek', 'yg', 'miliki']",bantu informasi sy blm job sesuai spek yg milik,positif
Banyak penipu,2,negatif,banyak penipu,penipu,['penipu'],tipu,negatif
"Tolong Laporan dari kita ditindak lanjuti, karena sekarang banyak modus perusahaan seperti pt visi cipta media, mereka cari pekerja account executive freelance ternyata hanya mencuri data client yang kita cari lalu diam2 perusahaan tsb berhubungan proyek tanpa sepengetahuan kita. Modus begitu merugikan kita sebagai pencari kerja di jobstreet. Sekali dipakai kami dibuang apalagi tidak ada gaji bulanan hanya komisi.",1,negatif,tolong laporan dari kita ditindak lanjuti karena sekarang banyak modus perusahaan seperti pt visi cipta media mereka cari pekerja account executive freelance ternyata hanya mencuri data client yang kita cari lalu diam2 perusahaan tsb berhubungan proyek tanpa sepengetahuan kita modus begitu merugikan kita sebagai pencari kerja di jobstreet sekali dipakai kami dibuang apalagi tidak ada gaji bulanan hanya komisi,tolong laporan ditindak lanjuti modus perusahaan pt visi cipta media cari pekerja account executive freelance mencuri data client cari diam2 perusahaan tsb berhubungan proyek sepengetahuan modus merugikan pencari kerja jobstreet dipakai dibuang gaji bulanan komisi,"['tolong', 'laporan', 'ditindak', 'lanjuti', 'modus', 'perusahaan', 'pt', 'visi', 'cipta', 'media', 'cari', 'pekerja', 'account', 'executive', 'freelance', 'mencuri', 'data', 'client', 'cari', 'diam2', 'perusahaan', 'tsb', 'berhubungan', 'proyek', 'sepengetahuan', 'modus', 'merugikan', 'pencari', 'kerja', 'jobstreet', 'dipakai', 'dibuang', 'gaji', 'bulanan', 'komisi']",tolong lapor tindak lanjut modus usaha pt visi cipta media cari kerja account executive freelance curi data client cari diam2 usaha tsb hubung proyek tahu modus rugi cari kerja jobstreet pakai buang gaji bulan komisi,negatif
Sangat bagus untuk pencari tenaga kerja,5,positif,sangat bagus untuk pencari tenaga kerja,bagus pencari tenaga kerja,"['bagus', 'pencari', 'tenaga', 'kerja']",bagus cari tenaga kerja,positif
Banyak loker hoax,1,negatif,banyak loker hoax,loker hoax,"['loker', 'hoax']",loker hoax,negatif
"sudah aply dari banyak perusahaan tapi satupun tidak ada yang dilihat bahkan direspon, sekali direspon itupun perusahaan bodong #INDONESIACEMAS2024",1,negatif,sudah aply dari banyak perusahaan tapi satupun tidak ada yang dilihat bahkan direspon sekali direspon itupun perusahaan bodong indonesiacemas2024,aply perusahaan satupun direspon direspon itupun perusahaan bodong indonesiacemas2024,"['aply', 'perusahaan', 'satupun', 'direspon', 'direspon', 'itupun', 'perusahaan', 'bodong', 'indonesiacemas2024']",aply usaha satu direspon direspon itu usaha bodong indonesiacemas2024,negatif
Ok,5,positif,ok,ok,['ok'],ok,positif
"Tolong di perketat keamanan nya banyak PT penipuan yang masuk ke Jobstreet, Dengan iming"" Admin seragam dll 1,7jt nama PT focus global logistik, alamat nya Jl. Raya Bekasi No.36, RT.10/RW.1, Ujung Menteng, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13960* Awas penipuan!",1,negatif,tolong di perketat keamanan nya banyak pt penipuan yang masuk ke jobstreet dengan iming admin seragam dll 17jt nama pt focus global logistik alamat nya jl raya bekasi no36 rt10rw1 ujung menteng kec cakung kota jakarta timur daerah khusus ibukota jakarta 13960 awas penipuan,tolong perketat keamanan nya pt penipuan masuk jobstreet iming admin seragam dll 17jt nama pt focus global logistik alamat nya jl raya bekasi no36 rt10rw1 ujung menteng kec cakung kota jakarta timur daerah khusus ibukota jakarta 13960 awas penipuan,"['tolong', 'perketat', 'keamanan', 'nya', 'pt', 'penipuan', 'masuk', 'jobstreet', 'iming', 'admin', 'seragam', 'dll', '17jt', 'nama', 'pt', 'focus', 'global', 'logistik', 'alamat', 'nya', 'jl', 'raya', 'bekasi', 'no36', 'rt10rw1', 'ujung', 'menteng', 'kec', 'cakung', 'kota', 'jakarta', 'timur', 'daerah', 'khusus', 'ibukota', 'jakarta', '13960', 'awas', 'penipuan']",tolong ketat aman nya pt tipu masuk jobstreet iming admin seragam dll 17jt nama pt focus global logistik alamat nya jl raya bekas no36 rt10rw1 ujung menteng kec cakung kota jakarta timur daerah khusus ibukota jakarta 13960 awas tipu,negatif
Kebanyakan yg panggil itu perusahan yg ga jls interview nyah D ruko ruko,2,negatif,kebanyakan yg panggil itu perusahan yg ga jls interview nyah d ruko ruko,kebanyakan yg panggil perusahan yg ga jls interview nyah d ruko ruko,"['kebanyakan', 'yg', 'panggil', 'perusahan', 'yg', 'ga', 'jls', 'interview', 'nyah', 'd', 'ruko', 'ruko']",banyak yg panggil usah yg ga jls interview nyah d ruko ruko,negatif
Cukup membantu untuk mencari Loker.,5,positif,cukup membantu untuk mencari loker,membantu mencari loker,"['membantu', 'mencari', 'loker']",bantu cari loker,positif
Respon admin cepat bila aplikasi bermasalah terimakasih,5,positif,respon admin cepat bila aplikasi bermasalah terimakasih,respon admin cepat aplikasi bermasalah terimakasih,"['respon', 'admin', 'cepat', 'aplikasi', 'bermasalah', 'terimakasih']",respon admin cepat aplikasi masalah terimakasih,positif
Saya heran puluhan kali melamar via jobstreet tapi gak ada satupun ditelpon ataupun yg nyangkut padahal saya lamar sesuai kualifikasi saya saja gak yang aneh aneh. Di aplikasi lain cukup beberapa kali langsung ada panggilan. Aneh aplikasi ini.,2,negatif,saya heran puluhan kali melamar via jobstreet tapi gak ada satupun ditelpon ataupun yg nyangkut padahal saya lamar sesuai kualifikasi saya saja gak yang aneh aneh di aplikasi lain cukup beberapa kali langsung ada panggilan aneh aplikasi ini,heran puluhan kali melamar via jobstreet gak satupun ditelpon yg nyangkut lamar sesuai kualifikasi gak aneh aneh aplikasi kali langsung panggilan aneh aplikasi,"['heran', 'puluhan', 'kali', 'melamar', 'via', 'jobstreet', 'gak', 'satupun', 'ditelpon', 'yg', 'nyangkut', 'lamar', 'sesuai', 'kualifikasi', 'gak', 'aneh', 'aneh', 'aplikasi', 'kali', 'langsung', 'panggilan', 'aneh', 'aplikasi']",heran puluh kali lamar via jobstreet gak satu telpon yg nyangkut lamar sesuai kualifikasi gak aneh aneh aplikasi kali langsung panggil aneh aplikasi,negatif
"Hati ² banyak lowongan palsu alias penipuan, banyak perusahaan yg bodong juga, Hati² dengan data diri kalian",1,negatif,hati  banyak lowongan palsu alias penipuan banyak perusahaan yg bodong juga hati dengan data diri kalian,hati lowongan palsu alias penipuan perusahaan yg bodong hati data,"['hati', 'lowongan', 'palsu', 'alias', 'penipuan', 'perusahaan', 'yg', 'bodong', 'hati', 'data']",hati lowong palsu alias tipu usaha yg bodong hati data,negatif
"Aplikasinya keren, semua perusahaan ada dan mudah untuk kirim lamaran, namun sayang tidak satupun perusahaan yang kontak saya..jadi saya kasih bintang lima ,krena luar biasa",5,positif,aplikasinya keren semua perusahaan ada dan mudah untuk kirim lamaran namun sayang tidak satupun perusahaan yang kontak sayajadi saya kasih bintang lima krena luar biasa,aplikasinya keren perusahaan mudah kirim lamaran sayang satupun perusahaan kontak sayajadi kasih bintang krena,"['aplikasinya', 'keren', 'perusahaan', 'mudah', 'kirim', 'lamaran', 'sayang', 'satupun', 'perusahaan', 'kontak', 'sayajadi', 'kasih', 'bintang', 'krena']",aplikasi keren usaha mudah kirim lamar sayang satu usaha kontak sayajadi kasih bintang krena,positif
Sekarang di Jobstreet banyak banget perusahaan bodong/PENIPUAN dengan mencantumkan perusahaan anonim. Setelah dapat undangan interview dan di cek alamatnya lewat google ternyata kantor tersebut merupakan kantor penipuan. Mohon di sortir lebih baik lagi agar tidak ada masyarakat atau pencari kerja yang tertipu.,2,negatif,sekarang di jobstreet banyak banget perusahaan bodongpenipuan dengan mencantumkan perusahaan anonim setelah dapat undangan interview dan di cek alamatnya lewat google ternyata kantor tersebut merupakan kantor penipuan mohon di sortir lebih baik lagi agar tidak ada masyarakat atau pencari kerja yang tertipu,jobstreet banget perusahaan bodongpenipuan mencantumkan perusahaan anonim undangan interview cek alamatnya google kantor kantor penipuan mohon sortir masyarakat pencari kerja tertipu,"['jobstreet', 'banget', 'perusahaan', 'bodongpenipuan', 'mencantumkan', 'perusahaan', 'anonim', 'undangan', 'interview', 'cek', 'alamatnya', 'google', 'kantor', 'kantor', 'penipuan', 'mohon', 'sortir', 'masyarakat', 'pencari', 'kerja', 'tertipu']",jobstreet banget usaha bodongpenipuan cantum usaha anonim undang interview cek alamat google kantor kantor tipu mohon sortir masyarakat cari kerja tipu,negatif
Aplikasi kurang bermanfaat,1,negatif,aplikasi kurang bermanfaat,aplikasi bermanfaat,"['aplikasi', 'bermanfaat']",aplikasi manfaat,positif
"Aplikasi anj*ng, nyebarin data sembarangan. sering masuk Wa dr nomor2 gk jelas, katanya dpt data dr sini .. sengaja kasi bintang 5 biar dibaca ama developer anj*ng",5,positif,aplikasi anjng nyebarin data sembarangan sering masuk wa dr nomor2 gk jelas katanya dpt data dr sini  sengaja kasi bintang 5 biar dibaca ama developer anjng,aplikasi anjng nyebarin data sembarangan masuk wa dr nomor2 gk dpt data dr sengaja kasi bintang 5 biar dibaca ama developer anjng,"['aplikasi', 'anjng', 'nyebarin', 'data', 'sembarangan', 'masuk', 'wa', 'dr', 'nomor2', 'gk', 'dpt', 'data', 'dr', 'sengaja', 'kasi', 'bintang', '5', 'biar', 'dibaca', 'ama', 'developer', 'anjng']",aplikasi anjng nyebarin data sembarang masuk wa dr nomor2 gk dpt data dr sengaja kasi bintang 5 biar baca ama developer anjng,negatif
"Banyak oknum yg memanfaatkan aplikasi jobstreet untuk kepentingan pribadi, saya panggilan interview tp di minta uang 1,7 jt",1,negatif,banyak oknum yg memanfaatkan aplikasi jobstreet untuk kepentingan pribadi saya panggilan interview tp di minta uang 17 jt,oknum yg memanfaatkan aplikasi jobstreet kepentingan pribadi panggilan interview tp uang 17 jt,"['oknum', 'yg', 'memanfaatkan', 'aplikasi', 'jobstreet', 'kepentingan', 'pribadi', 'panggilan', 'interview', 'tp', 'uang', '17', 'jt']",oknum yg manfaat aplikasi jobstreet penting pribadi panggil interview tp uang 17 jt,negatif
Good,5,positif,good,good,['good'],good,positif
