content,score,Label
PT. Tunas Mobilindo Praksa ( Marketing ) PT. Mandiri Tunas Finance ( Head SPV Ar) PT. Mayora Garut ( sales TO ) PT KB Finansia ( Head Col ),5,positif
"Uda nunggu tahunan ga di panggil panggil, bukannya mempermudah malah mempersulit pencari kerja",1,negatif
Senior mechanic heavy duty,5,positif
Siip,5,positif
Selalu memposting lowongan kerja baru,5,positif
"aplikasinya udah bagus tapi lowongan2nya dusta semua, gak pernah di panggil wawancara dari dulu, pemenang mh ttep org dalem yg bisa kerja",5,positif
LOKER FAKE,1,negatif
Ok,5,positif
many fake job vacancies?,2,negatif
"Saya pake apk ini. Ga da guna, panggilan ga da, penipuan loker banyak udh 3 bulan nganggur",1,negatif
"Tolong di perbaiki lagi sistem nya, terutama lowongan yang sekiranya penipuan. Sangat banyak sekali, makanya bagi yg cari kerja jangan tergiur dengan gaji tinggi yg ditulis di jobstreet. Selain itu, jika ada panggilan interview lewat wa/email. Mohon dilihat dulu tempatnya, coba search lewat google atau fb. Jika sekiranya mencurigakan jangan datang. Apalagi jika di interview nya diminta uang terlebih dahulu.",1,negatif
"Ini maksudnya gimana, saya mau nyoba daftar kaga bisa suruh masuk ke akun jobstreet dulu. Udah masuk ke akun jobstreet tapi bagian profil kaga ada suruh masuk ke akun lagi. Tiap kali mau masuk selalu di arahin ke google crome. Sangat kecewa sama ini aplikasi",1,negatif
Karna hp sya pernah ada problem saya uninstal apk jobstreet dan stelah saya instal ulang kenapa pas bgian mau daftar atau login selalu loading,2,negatif
Cocok buat cari kerja,5,positif
Good,5,positif
ADMIN DKV 3 RAYA ALFI,1,negatif
"Lowongan kerjanya lengkap dan No Tipu tipu (Surabaya, East Java) Terimakasih Jobstreet",5,positif
Mantap,4,positif
Kenapa ya kok Sy punya email tiba2 tdk trima lagi info dari jobstreet?,5,positif
Aplikasi tolol banyak penipuan nya,1,negatif
banyak loker bodong Interview di ruko,1,negatif
Kbnykan lowongan untuk staf keatas. Lowongan driver khusunya dumptruk ga ada diwilayah Sulawesi Tenggara dan tengah,1,negatif
"Sangat membantu, dalam pencarian pekerjaan dan menambah wawasan",5,positif
"Tidak bisa dibuka, Apakah sedang ad perawatan sistem",4,positif
"Versi lama sama versi sekarang jauh lebih bagus versi yang lama, yg sekarang sering error belum lagi gabisa lihat jumlah pelamar, update perkembangan lamaran juga kadang ada kadang enggak tapi lebih sering gaada sampe lamaran expired, banyak perusahaan bodong dan bener kata mas yg dibawah kok saya jg jadi sering di telp sama penipu sampe harus ganti no telp, lamaran sering tdk ada perkembangan, berharap di platform ini hanya membuang waktu sepertinya saya berencana untuk pindah ke platform lain.",2,negatif
"Sebetulnya sangat bagus aplikasi ini ,tapi sangat disayangkan banyak dimanfaatkan oleh perusahaan bodong yg minta bayaran pada pelamar dgn dalih yg macam².......",2,negatif
30% usaha 70% relasi,2,negatif
Semoga lebih updateinfo,5,positif
"Selama bertahun2 pake aplikasi ini, tdk ada satupun saya ketrima diperusahaan lewat aplikasi ini....",1,negatif
"Belum pernah ada perkembangan melamar pekerjaan melalui aplikasi ini. Sudah berkali-kali apply dan berbulan bulan menunggu tidak pernah ada perubahan status lamaran yang dikirim, Apakah lamaran kerja ditolak atau bagaimana. Tim IT / Tim pengembang Tolong untuk status lamaran kerja di update (diberikan kejelasan) kepada pengguna aplikasi ini.",4,positif
"Kasih waktu untuk perekrut agar resume/cv/lamaran kerja kami setidaknya di liat dan dibaca, biar ada keseriusan dalam merekrut pekerja, karna kasian ke pelamar, siang malam kami liat lamaran kerja kami, sudah di baca atau belum oleh perekrut, ini akan meningkatkan pelayanan jobstreet jadi tolong kasih waktu hari untuk membaca cv/resume/lamaran kerja kami, jika ada pelamar yang melamar ke perekrut, untuk lebih di percepat dan keseriusan nya dalam merekrut, krna ad yg smpai 7 hari blm d baca.",5,positif
Tidak ada chat dari pihak hrd,2,negatif
"Aneh bet nih aplikasi ada pencarian berdasarkan kota tapi tetep ajah di luar kota tersebut bisa tetep tampil selama 1 provinsi sama kota itu juga. Misal saya cari kota sukabumi tetep yang muncul depok, bekasi, bandung padahal dah di pencarian saya ingin carinya di lokasi sukabumi.",1,negatif
"Aplikasi jobstret Saya udah 3 bulan kirim lamaran satu pun blm Ada yg nyakut d perusahan yg lain Malah d Bilang Ada kesalahan d file y, Pada hal sesuai yg d ingin dari jobstret y, Ada yg sekali d Terima Malah penipuan d perusahan yg ngk jelas. Malah yg Ada ngabisin kouata internet aja,mencari kerja susah banget sie.",1,negatif
Saya pernah tebantu.. terimakasih,5,positif
Formalitas udah banyak perusahaan yang saya lamar namun tidak pernah ada satupun jawaban .. disini cuman liat nama nama perusahaan saja plusnya,1,negatif
Sistemnya dan tampilannya sudah bagus dan lengkap. Mudah dipahami dan mempermudah pihak pencari kerja dan juga pihak pemberi kerja.,5,positif
terima kasih jobstreet sudah banyak membantu saya,5,positif
Pekerja pabrik,5,positif
App nya bagus sih.sangat membantu.tapi kebanyakan yg dicantumkan oleh pemberi pekerjaan selalu umur yg diutamakan.bukannya pengalaman yg dicari.indoneaia miris,4,positif
Mantul,5,positif
Gak bisa buka. Parah parah,1,negatif
"70% isinya loker nipu, mending Kelen hapus akun jobstreet kalian. Hanya diambil data pribadi doang",1,negatif
"Lebih diperketat lagi buat pengiklan lokernya. Penipu Loker Masih Ada yang lolos.sudah 6 Kali dapet Loker penipuan.buang"" ijin kita mau interview. Buang"" biaya kita mau interview.dah gitu aja",1,negatif
Kebanyakan loker palsu,1,negatif
"Saya tidak lagi percaya jobstreet,banyak penipuan kerja dan salah satunya saya tertipu",1,negatif
Apakah data nomor pendaftar jobstreet bukan bagian dari privasi yang perlu dijaga kerahasiaannya? Saya sering dapat wa dari orang tak dikenal yang menawarkan pekerjaan nggak jelas. Mereka menjelaskan bahwa mendapatkan informasi nomor wa dari data base jobstreet. Tolong dijawab,1,negatif
Mohon dibantu tidak bisa upload resume. File sudah sesuai dengan ketentuan format pdf ukuran 1.78mb. Aplikasi sudah saya update. Ponsel sudah saya restart.,5,positif
"Lowongan sih banyak ya.. tapi gak ada yg nyantol dari sini.. ya gimana mau nyantol.. dilihat saja tidak.. dan ngeselinnya, jadi dpt buanyak email undangan interview tipuan dengan alamat Jl. Industri Raya No. 9-10 Gunung Sahari",4,positif
Apakah ada loker di atas 30th,5,positif
Knapa ya info lowongan yg di lamar banyak yg kadaluarsa hampir semua loh🤦‍♂️,2,negatif
mohon agar lowongan kerja dari web lain jangan digabungkan dengan yang tertera di aplikasi jobstreet Karena kami hanya ingin mengapply lowongan kerja yang hanya ada di aplikasi jobstreet bukan yang di alihkan ke web lain karena hanya bikin ruwet saja tiba tiba harus pindah ke web lain di luar aplikasi jobstreet.,1,negatif
cukup banyak info lowongan kerja yang diberikan dan mudah dalam fitur melamar cepat nya,5,positif
"Info lowongan kebanyakan nipu,mereka pake perusahaan besar berkedok nipu rata-rata di ruko semua hati hati",1,negatif
Bagus aplikasinya sangat berguna untuk mencari pekerjaan,5,positif
"Banyak lowongan kerja scam, be carefull gaes!! Dan juga banyak kantor yg cuma jadiin jobstreet buat brand awareness doang. Saran pakai platform lain aja",1,negatif
mengikuti program AI,5,positif
Sangat membantu untuk mencari pekerjaan,5,positif
Saya kasih bintang 5 tapi berkas lamaran belum ada yang di panggil juga,5,positif
Good,5,positif
membantu sekali,5,positif
"Aplikasi gak guna banget, udah banyak kirim lamaran tapi gak pernah ada tindak lanjutnya 👎.",1,negatif
"Mohon maaf, Para Pengembang Aplikasi Jobstreet, saya harus mengulas pengalaman saya menggunakan aplikasi secara jujur dan terbuka di sini. Bisa dikatakan bahwa aplikasi Jobstreet kalian ini sangat mengecewakan dan membuat gusar karena sebagian besar lowongan pekerjaan ini melalui pihak kedua dan pihak ketiga yang masih tidak jelas validitas dan keresmian lembaga tersebut (tidak semua yayasan dan outsourcing) dan meminta untuk membayar sejumlah uang yang cukup besar agar bisa bergabung.",1,negatif
"Banyaknya loker di jobstreet dan dilamar. 1 pun tiada yang manggil , pemangilan kerja",1,negatif
Update dan terperinci..,5,positif
Ok,5,positif
Driver kedutaan besar iraq,5,positif
Sebelumnya saya ucapkan terimakasih terlebih dahulu kepada joobstreet.saya sudah diterima diperusahaan...semakin bnyak melamar semakin banyak peluang...untuk interview sebaiknya jika harus offline teliti akan perusahan itu aja..saya bersyukur langsung interview tatap muka lebih efisien dan lebih memuaskan.ataupun interview online saya tetap mengikuti prosedurnya tiap2 perusahaan memang ada penilaian masing2 yg profesional jg.. semngt yaah yg lainnya,5,positif
banyakkkkkk banget loker nipu.,2,negatif
Semakin gak jelas jobstreet. Lowongan rekomendasi jauh dari basic kerja!!! Ngaco,1,negatif
Sekarang banyak perusahaan abal-abal.. untuk melakukan penipuan.. saran untuk jobstreet lebih ketat lagi..agar perusahaan abal-abal ini tidak bisa mendaftar jobstreet..,4,positif
Masih jadi andalan utama pencari kerja,5,positif
"Sebenernya aplikasi ini bagus, tapi ya itu mulai banyak scam gak jelas. Apakah pihak jobstreet sebelumnya sudah melakukan proses seleksi dan screening terhadap perusahaan2 yang posting info lowongan di jobstreet, karena banyak perusahaan abal2 yang bisa masuk dan posting info lowongan disini. Mohon diperketat lagi seleksi bagi perusahaan yang ingin posting lowongan disini sehingga akhirnya tidak merugikan para pencari kerja. Terima kasih",4,positif
Good,5,positif
"Perasaan dulu sering nglamar diaplikasi ini engga pernah ketipu. Eh sekarang malah ketipu. Baru banget tadi siang saya interview ketipu 900.000 bilang buat seragam kerja karena ga ada penahan ijazah atau dokumen penting makanya seragam ditanggung pribadi. Langsung penempatan, tanda tangan kontrak dan besok langsung masuk kerja. Eh ternyata pas mau tanda tangan kontrak di beberapa point pernyataan ada suruh bayar lagi 550.000. kalau belum lunasin 550 belum bisa tanda tangan kontrak dan penempatan",1,negatif
"Awas lagi viral penipuan seperti kejadian di duren sawit di pinta 1,7 juta",1,negatif
Susah untuk login,1,negatif
"Ini aplikasi gak jelas, masa lowongan baru di update 1hr baru 3hr dapat info lowongan sdh di tutup, kayanya CV gak pernah di kirim, Jobstreet skrg gak jelas, bagusan di hapus ini.",1,negatif
"Setelah banyak masukin cv di jobstreet, Alhamdulillah banyak email/Wa panggilan interview, yg setelah ditelusuri adalah penipuan. Mohon untuk diperbaiki lagi",2,negatif
"Banyak penipuan di aplikasi ini saat interview di mintai uang kisaran sampe 1,8jt sedihnya kho kerja kita harus bayar padahal kita sudah ngeluarin uang untuk bikin cv dan bayar transportasi untuk ketempatnya dan akhirnya viral di tiktok sudah kami laporkan tetap saja ga ada tuh berita penakapan interview bodong, miris",1,negatif
"Gajelas banget sumpah gua udah apply banyak"" 1 pun ga ada yang respon buat panggilan interview atau apa, ini cuma keterangan sudah dilihat doang sampe tuh lowongan ditutup pembodohan publik lol mending glints juga cepet dan jelas",1,negatif
"Sebenarnya aplikasinya bagus hanya saja perusahaan dijobstreet kebanyakan nipu, pernah dapat panggilan katanya butik gitu pas dichat melalui telegram ternyata konfirmasi pesanan dimana yang kalau saldonya kurang harus top up terlebih dahulu, kecewa sekalii dengan aplikasi inii kebayangkan lowongan palsu. Untuk pihak jobstreet mohon ditelusuri terlebih dahulu lowongan tersebut apakah beneran atau tidak karena kami sebagai pencari kerja tentu saja serius mencari pekerjaan bukan yang hanya main².",2,negatif
Aplikasi kocak semua panggilan kerja yg ada diaplikasi ini hoax semua gaada yg bener satu pun coba make apl ini dari tahun 2021 tetep aja,1,negatif
"Kecewa sih ada oknum penipu yg memanfaatkan apk ini, aku udah berapa kali interview lolos tapi ujung²nya main uang. Pas di tanya ke calon lain ada yg ketipu jutaan rupiah. Tolong tinjau oknum nakal itu & hargai kami yg serius mencari pekerjaan buat membantu orang tua🥺",4,positif
Fu ke perusahaan pembuka lowongan sangat kurang,1,negatif
"Hati-hati yang melamar pekerjaan lewat online apalagi dijobstreet aku bulan Juni kemarin kena tipu,, kok bisa lolos ya lowongan bodong masuk ke aplikasi jobstreet?",2,negatif
"Mau nyoba cuman trouble terus pas mau daftar dan masuk, ntah lah",2,negatif
Memuaskan.,5,positif
Berpuluh2 kali kirim lamaran kerja blm pernah ada panggilan dri tahun 2022 SD 2024 Tolong di perbaiki . jobstreet Ini masalahnya di mana ya Padahal udah penuhi syarat2nya sesuai yg di butuhkan. Klo ada panggilan says kasih bintang 5,1,negatif
Aplikasi ga jelas lamaran masih berlaku pas liat gmail loker dah tutup kocak trs lamaran yg kemaren kemana...klo dah tutup gausah di iklanin...payah,1,negatif
"Masih Banyak lowongan kerja palsu, Tolong di perketat lagi perizinannya. Terimakasih",4,positif
Pengalaman saya kerja di suatu perusahaan langsung ketemu HRD Alhamdulillah test interview tanpa 💰,5,positif
"kebanyakan loker bodong. nama pt nya ngga ada, alamat nya juga ngga di cantumin. sekali nya dpt email interview malah d kasih maps yang engga jelas. next di perhatikan lagi utk delevop nya, pinter"" mensortir mana yg bener mana yg engga, jangan asal biarin masuk, banyak ngerugiin orang yg bener"" nyari pekerjaan.",1,negatif
"data diri dan nomor hp saya kesebar, ada yang wa saya mengaku mendapatkan database saya dari aplikasi jobstreet, hati hati.",2,negatif
Kereen,5,positif
sangat membantu untuk mencari lowongan pekerjaan,5,positif
"Aku ga tahu ya, selalu dihubungi perusahaan bodong padahal gak pernah apply perusahaan tsb. Dan kalimatnya pasti mencantumkan kalo mereka dpt data dari app ini, tolong lebih lebih amanin lagi, padahal aku udh aktifkan mode tidak terlihat tapi tetap bisa dicomot data sama yg bodong2 ini padahal ga pernah apply. Mohon ditingkatkan lagi keamanannya, terimakasih.",4,positif
DONE,5,positif
"Mungkin pilihan rentang gaji bisa disesuaikan, jangan dari 10 langsung ke 15, tapi diberikan jenjang 10,12,13 atau seperti apa.",4,positif
BERMANFAAT BANGET,5,positif
Pairing Token: 7ae0-39a5,5,positif
Bisa ga fitur2nya dibuat seperti versi sebelumnya lebih mudah tapi lumayan lengkap,5,positif
"Fake aplikasi sialan, beribu kali kirim gada satupun yang jebol alasannya lowongan telah ditutup padahal muncul di bagian new lowongan, kalo ga niat nyariin lowongan gak usah banyak bacot.",1,negatif
Bagus,5,positif
Terbaik,5,positif
"Susah. Urutan pencarian tidak dari yang terbaru sampai terlama. Acak, jadi susah liat mana lowongan yg baru",1,negatif
"Gua pake aplikasi ini dari 2015, sampe detik ini belum perna ada yang nyangkut. Padahal pengisian kolom perkolom nya sudah gua lengkap selengkapnya. Lebih enak di LinkedIn kaya dari pada disini.",1,negatif
Tidak bisa upload resume,1,negatif
"Sedikit kecewa dengan jobstreet sekarang, untuk upload surat lamaran format pdf. Cukup susah dan memakan waktu lama. Padahal sudah di konversi juga file nya. Mohon untuk di tinjau kembali. Terimakasih 🙏",4,positif
Tidak ramah fresh graduate,1,negatif
Aplikasi Lucu Orang nyari lowongan kerja malah di manfaatin buat di tipu sering banget dapet panggilan interview pas dicek PENIPU!!,1,negatif
Susah buat daftar nya,1,negatif
"selalu terjadi kebocoran data,ini terbukti selalu dapat pesan wa dari PT B padahal saya hanya melamar di PT A. ini bukti jelas bahwa data saya bocor ke oknum ga bertanggung jawab,lebih baik ditingkatkan dan hanya perusahaan valid yang bisa mengakses data pengguna/pencari kerja.",1,negatif
"ini kenapa kalo dapet email untuk interview tempatnya sama semua ya padahal beda perusahaan tapi tempatnya disitu situ aja, di sebrang hotel orchardz",4,positif
Gak guna,1,negatif
Udah coba kirim banyak lamaran tapi engga ada yang di lihat satupun. Padahal kualifikasi ada. Sebenarnya niat cari karyawan atau cuma iseng posting.,1,negatif
Saya tidak bisa login,1,negatif
"bukannya dapet kerjaan malah suka ada kontak masuk yang gajelas nawarin kerjaan yang gajelas segala pake online HP aja, gimana si kerjaan kaga dapet malah no kesebar kemana mana",1,negatif
"Dari ratusan Lowongan yang saya lamar melalui jobstreet, satupun tidak ada yang terpanggil 😀😀😀",2,negatif
"Aplikasi pea, buang buang paketan gw, ngelamar 4x dalam loker bodong,, kocak kadang ni apk nyari kerja gimana konsep nya dah, developer yang beneran dikit lah msih banyak itu loker nipu di jobstret ngotak lah hampir gw pengen dtgin anjir",1,negatif
"Banyak perusahaan scam yang buka lowongan kerja hanya untuk dapatkan kontak person pelamar, saya beberapa kali dihubungi ditawari pekerjaaan yang ujung2nya diminta bayar, jobstreet sepertinya tidak menseleksi perusahaan fiktif, hati2 jika melamar perusahaan terutama yang identitas perusahaan disembunyikan",2,negatif
Sangat membantu,5,positif
Aku banyak dapat kerjaan dari sini.,5,positif
Izin instal,5,positif
banyak loker bodong,1,negatif
"Tolong untuk pihak-pihak Jobstreet, ini aplikasi gak bisa apa-apa, bisa nyari pekerjaan yang kita inginkan tapi gak bisa pula perusahaan manggil kita untuk bekerja, sekali lagi tolong diperbaiki agar tidak namanya PHP loker di seluruh Indonesia",1,negatif
Mantap,5,positif
Coba keberuntungan,5,positif
Peluang untuk bekerja semakin luas,5,positif
Good banget,5,positif
Sebetulnya bagus dan sangat membantu aplikasinya.. Tapi sngt disayangkan dan hny sekedar formalitas saja untuk perusahaan2 menginklankan di jobstreet. Sudah banyak melamar2 di jobstreet tapi dari perusahaan yang saya apply tidak pernah di lihat / di respon lamaran2nya sampai batas pembukaan lamaran di tutup.....#indonesiacemas2045,5,positif
semoga saya dapat pekerjaan,5,positif
Bad experience. Never get a job from this apps.,1,negatif
IYA SALAM ADA BAIK SALAM ADA PERSAHABATAN DR : ERBA SAPUTRA (MT),5,positif
Pengawas Lapangan,5,positif
Staff Brikes,5,positif
Sekarang aplikasinya jelek gk kaya yang dulu.setiap mau buka harus update terus.busuk,1,negatif
banyak loker yg tidak jelas,1,negatif
"Terimakasih aplikasi jobstreet, karena dengan aplikasi ini sayah dapat pekerjaan yang baik",5,positif
Mantab,5,positif
Bagus,5,positif
"Developer nya kebanyakan tidur, lokasi yang diminta dengan lokasi loker yang ditampilkan sangat jauh berbeda, query nya diperbaiki lagi lah di API Backend nya kocak",2,negatif
"Saya kemarin keluar akun sign out, terus saya mau sign in, ga bisa , kolom email dan password gk muncul, loading terus 1 harian, padahal paket data ku masih 250 gb.",1,negatif
Baru aja download uda dicoba daftar sama langsung masuk pake email msih trouble aja gbisa login ktnya suruh contact support,1,negatif
PHP doang,1,negatif
Saya udh bolak balik daftar akun tp ttp aja ga masuk2 ga tau deh,1,negatif
Semoga bisa mendapatkan pekerjaan,5,positif
Mencoba melangkah lebih baik ke depan.,5,positif
Baru mencoba semoga berguna jobtreet,5,positif
Aplikasi ga jelas nyebarin lamaran hoax aja aneh ada ya orang kaya gini,1,negatif
Sangat membantu,5,positif
"Aplikasi mantap tembus pt glovis, pt samudera logistik, pt lf service ( maersk )",5,positif
Sering dapet tawaran cuma lama sekali responnya,4,positif
Dari pertama pake jobstret kaga ada pangilan pisan di tutup aja terus atau sudah kadaluarsa,2,negatif
Info lowongan sih banyak..tp apa benar perusahaan nya lagi membuka lowongan? Gk pernah ada respon apa² udh ratusan lamaran yang dikirim,1,negatif
"Sangat membantu, Jazakallohu khoir...",5,positif
Sabgat bgus tapi tolong loker yg tipu tipu beriklan ononim jngan ada dong Alhamdulillah dpet pnggilan tpi tes nya saya blom lolos di pt tirta alam segar,5,positif
JANGAN PERCAYA SAMA APLK INI KEBANYAKAN LOKER PENIPUAN,1,negatif
Tkz jobstreeet....,5,positif
"Temenn temen hati hati banget untuk lowongan kerja yang ada di jobstreet, karna ada beberapa lowongan yang menipu kalau perusahaan tersebut membuka lowongan. Aku sudah pastikan dan hub perusahaan nya langsung dan katanya gak ada lowongan yang ada di jobstreet. Hatihati guys",2,negatif
kenapa jadi ga bisa login?,1,negatif
"msh banyak aplikasi lain, dr pada ini ribet banget ,kaya pasti ke terima aja",1,negatif
OK,5,positif
Oke bagus aplikasi nya cepat banyak yang respon,5,positif
"Dari sekitar 300 lamaran lebih, 95% keterangannya lamaran kadaluarsa 🤣🤣🤣",1,negatif
"Jangan percaya dengan app ini, app ini penipu kk saya download app ini dan dapat kerja bukan nya kerja malah di tipu hati-hati, jangan sampai kalian kena",1,negatif
Manatab,5,positif
aplikasi yg ok,5,positif
"Mohon untuk update open hiring nya lebih update, karena info yg disiarkan telat dari mulainya hiring perusahaan..!!",5,positif
sangat membantu,5,positif
Jobstreet yes😊👍,5,positif
Datanya bocor banyak yang wa tapi setelah gua telusuri tu perusahaan ga jelas semua,1,negatif
Jubstree sngat membantu bagi pencari kerja,5,positif
Enggak pernah dapet panggilan tuh di aplikasi ini...udah dari dulu,1,negatif
masak saya login gak bisa..katanya lagi dalam perbaikan..maksudnya apa ya??,2,negatif
Memudah kan untuk mencari info loker yg kita mau,5,positif
sangat bagus sekali lewat jobStreet kami pelamar bisa mendapatkan pekerjaan. Thank You JobStreet,5,positif
"SARAN AJA KALAU ADA LOWONGAN SEGERA YANG LEBIH AKURAT DAN FRESH SUPAYA KITA MELAMAR SERIUS DAN YAKIN,TERUS MENUNGGU HASIL.",5,positif
Tolong kembalikan jobstreet versi sebelumnya,1,negatif
Percuma ada beginian juga udah ngirim CV sampai ratusan bahkan ribuan tapi tidak ada 1 perusahaan pun buat interview/menerima pekerjaan memang benar tanpa orang dalam sekarang sulit ijazah S1 lawan ijazah SMA..ijazah SMA ada orang dalam yang masuk yang lulusan SMA yang lulusan S1 di abaikan saja bahkan CV nya dibuang tidak sempat dibaca.. Aneh memang jaman sekarang Alasan tergantung perusahaan terus sekarang mah tanpa orang dalam lulusan doktor juga gabakal bisa masuk kerja,1,negatif
Aplikasi apa ini?? Ga pernah dapet panggilan kerja dari aplikasi ini. Payah.,1,negatif
"Aneh aplikasi pencari kerja mulai jobstreet, glints , dll , hasilnya nihil semua , Sebenarnya apk ini real tidak info loker yg dibutuhkan perusahaan atau hanya rekayasa saja ????",1,negatif
Great aplikasi sudah terbukti saya mendapatkan pekerjaan dari aplikasi jobstreet. Sayang tampilan aplikasi yang dulu lebih bagus dengan notifikasi undangan interview dari perusahaan. Yang skrg harus lihat email dulu baru tau,5,positif
Kenapa having trouble view apakah sama dengan kawan yang lainnya,1,negatif
"Good, Dari pertama kerja sampai sekarang selalu dapat kerja dai Jobstreet ini. . Terimakasih",5,positif
Ok mantap sangat membantu,5,positif
"Sudah berkali kali ngirim lamaran bahkan hampir 2 tahun nggak ada satu pun yang di terima bahkan notif nya selalu lamaran anda sepertinya tidak mengalami kemajuan,, ya gimana mau maju bahkan di baca sama perusahaan pun nggak,, atau lamaran anda sudah kadaluarsa,, aplikasi cuma buat iming2 pekerjaan dari sekian bnyak komentar belum ada saya ketemu komentar orang yang di terima kerja lewat jobstreet,, terima kasih sudah memabaca keluh kesah saya yang sudah capek mencari kerjaan di negeri sendiri",1,negatif
"Thank you jobstreet. Dari pertama kali kerja sampe 4 kali pindah perusahaan, semua dari aply lamaran di sini.. Salam buat lina",5,positif
"Aplikasi penipu,, banyak banget job penipuan disini,,jadi kalian yg install aplikasi ini harus extra hati-hati..",1,negatif
Gue herann sama aplikasi ini udah hampir 1 tahun saya kirim lamaran ke berbagai loker tapi tidak ada 1 pun yang terpanggil atu gimana dan aneh nya tiap apa yang ada poin ++ saya pengalaman tetap saja tidak ada panggilan..,5,positif
Good,5,positif
Aplikasi oke,5,positif
"Jobstreet sekarang tidak akurat. tidak ada notice update untuk lamaran yang sudah di apply sampai mana roges step by stepnya. tidak ada feedback sama sekali. kemudian pencarian Jobstreet juga kacau. isi sistem sekarang parah yang digunakan Sama jobstreet. di ketik pencarian itu A malah yang muncul Z, kacau sistemnya Jobstreet. jelek banget terlalu banyak update malah bikin eror. tidak ada manfaatnya sekarang",1,negatif
Jobstreet bagus buat mencari pekerjaan,5,positif
makin jelek aja sie tiba tiba suka keluar sendiri,1,negatif
"kenapa setiap saya apply gak pernah sampai ke Perusahaan? dibaca saja enggak. Saya telah mengirim lebih dari 50 lamaran hanya 2 yang dibaca, dan juga hanya 1 yang sampai tahap interview Cv saya lengkap, dan kata kuncinya selalu sesuai dengan persyaratan recruiter yang saya lamar. Saya lulusan S1 yang telah memiliki kurleb 5 tahun pengalaman kerja, gimana cara supaya cv saya bisa sampai 🥺",2,negatif
"ini kenapa ketika mau masukin kata sandi, keybord yg muncul bahasa arab, pdahal waktu masukin email keybord ny bahasa indonesia",1,negatif
Bagus an jobstreet yang lama ka dulu sering dpt panggilan kerja soalnya dlu keterangannya jelas di bandingkan yang sekarang...,5,positif
Aplikasi apa ini asu,1,negatif
"Rata"" perusahaan yang buat lowongan di jobstreet, banyak lihat doang, ga dipanggil, banyak hanya permainkan kandidat, capein saja, tidak melihat perjuangan kandidat, datang jauh"" ujungnya hanya ingin tau biodata Saja, trus tidak dipanggil lagi . Buat apa aplikasi lowongan ini dibuat, maunya dihapuskan aplikasi lowongan jobstreet, biar perusahaan susah nyari kandidat Tolong dong dibuat agar bisa chat hrd seperti aplikasi glints",1,negatif
"Lowongannya banyak penipuan. Jangan download gays, mending nyari ""Orang Dalam"" dari pada nyari kerja lewat situs online.",5,positif
Good,5,positif
banyak bat loker penipuan nya,1,negatif
"Lowongannya gajelas, boroboro ada panggilan interview hm",1,negatif
Coba dibuat fitur untuk menandai pekerjaan yg sudah dilamar. jadi bisa mempermudah user untuk tidak berulang2 melamar di pekerjaan dan perusahaan yg sama. seperti di gl1nts.,5,positif
masih banyak loker palsu yang alamat lokasinya di ruko ruko,1,negatif
login pake google ribet bgt,2,negatif
"Untuk Pihak Jobstreet, Tolong Untuk Perusahaan Anonim Atau tidak mendaftar Data PT/Perusahaan yg tidak Jelas untuk Ditolak.Dikarenakan banyak nya sekarang Interview dengan berbayar supaya masuk Di PT/Perusahaan.Dengan Jaminan Bla bla bla dibayarkan Setelah gajian, Menunggu 1 Minggu tidak ada jawaban 🤭🤭",2,negatif
Aplikasi busuk,1,negatif
lebih dari 5 tahun jobstreet jadi sarana untuk mendapatkan pekerjaan,5,positif
Bug,2,negatif
Jossssss...,5,positif
Banyak loker penipuan yang ujung²nya minta duit,1,negatif
"Terimakasih jobstreet, manfaat besar mengubah karir dan hidup saya. Berkat aplikasi ini saya dengan mudah menemukan perusahaan yang sesuai dengan minat saya. Saya sudah bekerja dari 2017 sampe sekarang, semua diawali dari jobstreet, terimakasih 🙏🙏🙏",5,positif
"Baru kemaren bgtt dapet interview bodong, ini first time nyoba cari loker lewat app kek gini eh sekalinya apply zonk, dari awal pake app langsung cantumin data kaya CV gitu jadi banyak banget panggilan interview palsu lewat email/wa, udah buang waktu tenaga buat dateng ke lokasi pas nyampe dimintai uang yang bahkan ngga sedikit, kasian bangett jobseeker yang udah dateng dari jauh dan ngeluarin uang iming² buat jaminan ini itulah tapi ternyata loker palsu. tiati buat jobseeker yang lagi berjuang",1,negatif
"aplikasi apa ini? Udah ngelamar lebih dari 100 PT, dan nunggu 6 bulan masih aja gak ada panggilan, ini aplikasi scam kah?",1,negatif
Baik,5,positif
PT wahana lestari Investama 2013-2018 Sekretaris pengelola UPT SP I HUAULU Sekretaris pemuda negeri besi.,5,positif
"Memang masih lebih baik versi sebelumnya... Saya baru sadar dari sekian lamaran yang dikirimkan, ternyata surat lamaran yang dibuat tidak tersimpan untuk setiap perusahaan yang dilamar, sehingga Saya mengirim surat lamaran menggunakan nama PT sebelumnya... sangat ribet sekali",1,negatif
Info nya kurang lengkap,5,positif
Good,4,positif
"Padahal banyak persyaratan yang tidak menyulitkan pelamar tapi selalu tidak mengalami kemajuan, aplikasi ini terkesan mempermainkan pelamar yang sedang mencari pekerjaan. Maaf saya uninstall aplikasi nya karena mengecewakan 😊",1,negatif
Banyak penipu,1,negatif
app ga guna aku apply udah hampir 3 tahun lebih blom ada pnggilan satu pun app ga jelas katanya memudhkn buktinya ngga nihil dampah,1,negatif
Susah bgt sign in,2,negatif
terima kasih jobstreet sangat membantu,5,positif
