content,text_tokens_stemmed,Label,Label NB,Label NB Average,Label SVM,Label SVM Average
Apk bagus dan bermanfaat untuk pencari kerja,apk bagus manfaat cari kerja,positif,positif,positif,positif,positif
Mau ngasih bintang 1 karena membocorkan nomor WhatsApp saya ke nmr yang tidak dikenal(penipu). Penipu ini berkedok loker d egan iming2 gaji ga masuk akal,ngasih bintang 1 bocor nomor whatsapp nmr dikenalpenipu tipu kedok loker d egan iming2 gaji ga masuk akal,negatif,negatif,negatif,negatif,negatif
"Pengguna jobstreet sejak th 2019 banyak panggilan dari sini, sekarang kenapa jarang banget dipanggil buat interview. Dan kebanyakan perusahaan penipuan yang menawarkan kerja like sosmed artis² gitu dah 😾",guna jobstreet th 2019 panggil jarang banget panggil interview banyak usaha tipu tawar kerja like sosmed artis gitu dah,negatif,negatif,negatif,negatif,negatif
Tolong tambahkan filter lama pengalama kerja,tolong tambah filter pengalama kerja,positif,positif,positif,positif,positif
"Bagus, tapi kok saya tidak dapat panggilan satu pun ya, padahal udh lamar banyak perusahaan, ditambah saya sudah masuk kualifikasi perusahaan, malah yg sering dapet email lowongan telah ditutup terus",bagus panggil ya udh lamar usaha tambah masuk kualifikasi usaha yg dapet email lowong tutup,positif,negatif,negatif,positif,negatif
Sangat membantu saya,bantu,positif,positif,positif,positif,positif
Saya sudah bekerja 5 thn sebagai driver,5 thn driver,positif,positif,positif,positif,positif
"Gara gara Aplikasi ini,data pribadi,nomr hp kesebar bnyk bnget perusahan bodong yg masuk.",gara gara aplikasi inidata pribadinomr hp sebar bnyk bnget usah bodong yg masuk,negatif,negatif,negatif,negatif,negatif
aplikasi penipu,aplikasi tipu,negatif,negatif,negatif,negatif,negatif
kebanyakan calo masa di mintain duit pas Dateng interview duit 10k juga di minta,banyak calo mintain duit pas dateng interview duit 10k,negatif,negatif,negatif,negatif,negatif
nice 👏,nice,positif,positif,positif,positif,positif
"banyak perusahaan bodong ada panggilan interview didaerah jakarta raya 3 perusahaan berbeda dengan 1 lokasi yang sama aneh, blum pernah ada yang pure resmi dri perusahaan dapet panggilan",usaha bodong panggil interview daerah jakarta raya 3 usaha beda 1 lokasi aneh blum pure resmi dri usaha dapet panggil,positif,negatif,negatif,negatif,negatif
INOVATIF,inovatif,positif,positif,positif,positif,positif
Salam luckin News,salam luckin news,negatif,positif,positif,negatif,positif
Sangat membantu dalam mencari peluang2 kerja,bantu cari peluang2 kerja,positif,positif,positif,positif,positif
Mantap pp,mantap pp,positif,positif,positif,positif,positif
"Sangat membantu, mantap 👍🏼👍🏼👍🏼",bantu mantap,positif,positif,positif,positif,positif
"Pengiklan Anonim di blok saja kebanyakan nipu kok bisa sekelas jobstreet menginklankan perusahaan yg kantor dan pt nya gak jelas, kasihyg banyak jadi korban coba lebih selektif lg menerima info loker yg untuk di sebar, jangan asal masukin info loker yg gak jelas",iklan anonim blok banyak nipu kelas jobstreet menginklankan usaha yg kantor pt nya gak kasihyg korban coba selektif lg terima info loker yg sebar masukin info loker yg gak,negatif,negatif,negatif,negatif,negatif
periksa lagi PT nyaa yang terdaftar.. semua panggilan interview via WA isi nyaa PT bodong semua.. dateng² disuruh bayar untuk kerjaa.. Interview nyaa di ruko.. periksa lagi dahh PT yang yang merekrut pekerjaan.. di Tiktok pun bangak yang mengeluh soal panggilan interview dari jobstreet.. ini Aplikasi harapan para pencari pekerja lohh.. gitu ajaa sihh,periksa pt nyaa daftar panggil interview via wa isi nyaa pt bodong dateng suruh bayar kerjaa interview nyaa ruko periksa dahh pt rekrut kerja tiktok bangak keluh panggil interview jobstreet aplikasi harap cari kerja lohh gitu ajaa sihh,negatif,negatif,negatif,negatif,negatif
"Tolong di perhatikan lagi,banyak perusahaan penipuan ,di cari nama PT nya dan alamat nya tidak ada di google ,bahkan ada yang bikin website dari salah satu orang bahwa PT dan alamat tersebut penipuan,biar tidak ada lagi yang kena Korban tipu dari perusahaan tersebut!",tolong perhati lagibanyak usaha tipu cari nama pt nya alamat nya google bikin website salah orang pt alamat penipuanbiar kena korban tipu usaha,negatif,negatif,negatif,negatif,negatif
Jobstreet for jobless,jobstreet for jobless,positif,positif,positif,positif,positif
"Mantap jobstreet semoga membantu untuk mencari kerja perusahaan yang baru, Semoga di lancarkan mencari kerja di jobstreet amin",mantap jobstreet moga bantu cari kerja usaha moga lancar cari kerja jobstreet amin,positif,positif,positif,positif,positif
Bagus,bagus,positif,positif,positif,positif,positif
Pt pt padu tidur cok gapernah di liat lamaran pun,pt pt padu tidur cok gapernah liat lamar,negatif,negatif,negatif,negatif,negatif
Good,good,positif,positif,positif,positif,positif
terima kasih sudah menjadi penghubung antara pencari kerja dengan pemberi kerja...,terima kasih hubung cari kerja beri kerja,positif,positif,positif,positif,positif
aplikasi nipu,aplikasi nipu,negatif,negatif,negatif,negatif,negatif
"Tolong lah jangan spam loker di email kalo ujungnya lowongan ditutup, Gimmick doang, dan buat pt juga kalo buat loker dan udah ada kandidatnya dari ordal jangan di post itu loker, kasian yang benar"" ngarepin loker itu.",tolong spam loker email kalo ujung lowong tutup gimmick doang pt kalo loker udah kandidat ordal post loker kasi ngarepin loker,negatif,negatif,negatif,negatif,negatif
"Kenapa akun saya tiba-tiba diblokir, saya tidak bisa masuk aplikasi maupun website padahal saya tidak melakukan hal-hal aneh, anya untuk mencari loker. Tolong perbaiki!",akun tibatiba blokir masuk aplikasi website halhal aneh anya cari loker tolong baik,negatif,negatif,negatif,negatif,negatif
"Aplikasi yang sangat patut di coba,, Sangat bermanfaat",aplikasi patut coba manfaat,positif,positif,positif,positif,positif
"Kebanyakan upgret malah jelek. Sortirannya ga berfungsi. Masa di sotir daerah bekasi malah jakarta, bogor pada muncul juga. Terus itu perusahaan yang ANONIM block aja semua. Karena itu perusahaan nipu.",banyak upgret jelek sortir ga fungsi sotir daerah bekas jakarta bogor muncul usaha anonim block aja usaha nipu,negatif,negatif,negatif,negatif,negatif
Ah sudah useless jobstreet skrg Banyak loker tipu tipu Informasi lowongan kerja di campur campur Mending LINKED IN sekalian,ah useless jobstreet skrg loker tipu tipu informasi lowong kerja campur campur mending linked in,negatif,negatif,negatif,negatif,negatif
Saat ini saya GX tau sedang interview di perusahaan yang real atau perusahaan yang bodong,gx tau interview usaha real usaha bodong,negatif,negatif,negatif,negatif,negatif
"MUAK SAMA APLIKASI INI!!! SANGAT TIDAK MEMBANTU, ISINYA CALO SEMUA YG BIKIN LOKER. KURANG AJAR, KAYA GITU KO GABISA DI SARING SAMA APK NYA.",muak aplikasi bantu isi calo yg bikin loker ajar kaya gitu ko gabisa saring apk nya,negatif,negatif,negatif,negatif,positif
Loker banyak yang tutup kalah sama Warung Madura yang 24Jam Payah! Kalo emg Galolos atau udh dapet kandidat langsung segera update dong,loker tutup kalah warung madura 24jam payah kalo emg galolos udh dapet kandidat langsung update,negatif,negatif,negatif,negatif,negatif
Bagus....,bagus,positif,positif,positif,positif,positif
Pernah dapat panggilan interview tapi dari pihak kedua/yayasan bukan dari pihak perusahaannya langsung,panggil interview keduayayasan usaha langsung,negatif,negatif,negatif,negatif,negatif
"aplikasi ga update, loker kebanyakan hanya untuk s1, terus setiap apply lamaran ga pernah ada panggilan lebih lanjut.",aplikasi ga update loker banyak s1 apply lamar ga panggil,negatif,negatif,negatif,negatif,negatif
"Tolong dong itu fitur searchnya banyak bug,, yang dicari A yang muncul B,, tolong ya",tolong fitur searchnya bug cari a muncul b tolong ya,negatif,negatif,negatif,negatif,negatif
"Dari pertama instal sampai sekarang belum pernah dapat panggilan interview, beda dengan aplikasi sebelah, sudah dapat interview namun belum ada cocok",instal panggil interview beda aplikasi belah interview cocok,positif,negatif,negatif,positif,negatif
"Apaan,ngasih info lowongan banyak banget penipuan,sya dapet panggilan interview di PT.Fujitetsu Autopart Manufakturz lewat Jobstreet,malah di minta uang buat sewa seragam 850ribu,alamat kantornya di Green Mansion Blok B no 10 samping Astra Honda.Ada lagi di Globallogistic sama aja.Bahaya nih ngelamar di jobstreet.",apaanngasih info lowong banget penipuansya dapet panggil interview ptfujitetsu autopart manufakturz jobstreetmalah uang sewa seragam 850ribualamat kantor green mansion blok b no 10 samping astra hondaada globallogistic ajabahaya nih ngelamar jobstreet,negatif,negatif,negatif,negatif,negatif
Top,top,positif,positif,positif,positif,positif
"APLIKASINYA BAGUS CUMA KALO SEARCH LOKER YANG LOKASINYA KITA MINTA GA AKURAT SAMA SEKALI, TERUS KEBANYAKAN LOKER YG KUALIFIKASINYA TERLALU BERAT",aplikasi bagus kalo search loker lokasi ga akurat banyak loker yg kualifikasi berat,positif,negatif,negatif,positif,negatif
Upload resume lama anj,upload resume anj,negatif,negatif,negatif,negatif,negatif
Di jobstreet saking banyaknya lowongan fiktif saking ga bisa bedain mana lowongan asli mana lowongan palsu,jobstreet saking banyak lowong fiktif saking ga bedain lowong asli lowong palsu,negatif,negatif,negatif,negatif,negatif
"apk kaga jelas,ngelamar kirain mah lowongan bener semua,pas diseriusin nipu",apk kaga jelasngelamar kirain mah lowong bener semuapas diseriusin nipu,negatif,negatif,negatif,negatif,negatif
Sangat membantu,bantu,positif,positif,positif,positif,positif
Sangat membantu,bantu,positif,positif,positif,positif,positif
"Sengaja kasih bintang satu biar dibaca. Gini ya, fitur 'laporkan' itu mungkin berguna ketika ada pengiklan yang mencoba menipu. Tapi kalau dari pihak jobstreetnya mengetatkan aturan terkait iklan loker itu jauh lebih baik. Coba buat kebijakan misalnya perusahaan tidak menggunakan identitas anonim saat menayangkan iklan, dan identitas perusahaan wajib betul-betul terverifikasi. Dengan begitu, ngga semua orang naro iklan loker, kasian yang masih awam.",sengaja kasih bintang biar baca gin ya fitur lapor guna iklan coba tipu jobstreetnya ketat atur kait iklan loker coba bijak usaha identitas anonim tayang iklan identitas usaha wajib betulbetul verifikasi ngga orang naro iklan loker kasi awam,negatif,negatif,negatif,negatif,negatif
"Mohon untuk pihak developer untuk lebih memperhatikan setiap lokernya, soalnya udah kejadian dapet panggilan interview ternyata penipu, udah 3x dapet panggilan penipu mana pada spam lagi",mohon developer perhati lokernya udah jadi dapet panggil interview tipu udah 3x dapet panggil tipu spam,negatif,negatif,negatif,negatif,negatif
Ini gak jelas sekarang.. Buka banyak loker tapi fiktif semua.. Info cuma sudah ditutup.. Trus gak ada kelanjutan ntah bener buka loker ntah gak.. Ntah ada diliat ntah enggak.. Paling tidak statu update nya dikasih tau.. Jangan berharap banyak sama platform ini.. Kalian cari yg lain aja..,gak buka loker fiktif info tutup trus gak lanjut ntah bener buka loker ntah gak ntah liat ntah statu update nya kasih tau harap platform cari yg aja,negatif,negatif,negatif,negatif,negatif
Aolikasi yang sangat bagus sekali,aolikasi bagus,positif,positif,positif,positif,positif
"MOHON DI PERTIMBANGAN KAN KARNA BANYAK PENIPU SUDAH MASUK DI JOBSSTREET SAYA INGATKAN UNTUK KALIAN HATI"" ATAS NAMA MHD EXPRESS ITU PENIPUAN YG ASLI AD DI IG UNTUK LOWONGAN!",mohon timbang karna tipu masuk jobsstreet ingat hati nama mhd express tipu yg asli ad ig lowong,negatif,negatif,negatif,negatif,negatif
sangat membantu dlm mencari pekerjaan 👍,bantu dlm cari kerja,positif,positif,positif,positif,positif
Semoga bermanfaat nyari kerjaan dapet,moga manfaat nyari kerja dapet,positif,positif,positif,positif,positif
Ok,ok,positif,positif,positif,positif,positif
Done,done,positif,positif,positif,positif,positif
"Sortir lagi dong, ini kan apk buat mempermudah cari loker tapi kebanyakan loker kosong. Malah ada yg loker penipuan cmn buat ambil data. Lebih teliti lagi buat developer apknya udh bagus tapi bknnnya mempermudah malah mempersulit.",sortir apk mudah cari loker banyak loker kosong yg loker tipu cmn ambil data teliti developer apknya udh bagus bknnnya mudah sulit,negatif,negatif,negatif,negatif,negatif
Banyak banget undangan interview bodong yg interview di ruko ruko. tolong dong pihak jobstreet lebih privasi lagi soal cv yg bisa dilihat pihak tidak brtanggung jawab,banget undang interview bodong yg interview ruko ruko tolong jobstreet privasi cv yg brtanggung,negatif,negatif,negatif,negatif,negatif
Dapat kerja dari aplikasi ini. Terimakasih,kerja aplikasi terimakasih,positif,positif,positif,positif,positif
Ini kenapa error terus ya? Sudah 2 hari loh gabisa di akses,error ya 2 loh gabisa akses,negatif,negatif,negatif,negatif,negatif
"Mengapa saya tidak bisa login, selalu technical eror? Tolong dibantu",login technical eror tolong bantu,positif,positif,negatif,positif,negatif
Untuk mengisi data pribadi gmna dan CV itu biodata atau surat lamaran kerja mohon jawab nya,isi data pribadi gmna cv biodata surat lamar kerja mohon nya,positif,negatif,negatif,positif,negatif
Dapet kerjaan ngga data malah bocor sudah ngikutin arahan yang di sarankan dari apk ini tetep aja ngga ada panggilan rata² dapet email perusahaan di tutup semua. aplikasi cuma formalitas buang² waktu,dapet kerja ngga data bocor ngikutin arah saran apk tetep aja ngga panggil dapet email usaha tutup aplikasi formalitas buang,negatif,negatif,negatif,negatif,negatif
"byk bahasa inggris,tidak bisa terjemah",byk bahasa inggristidak terjemah,negatif,negatif,negatif,negatif,negatif
aku ga ngerti knpa blm ada oanggipan gitu padahal udh hambis setahunan aku pake apk ini cmn ga tau blm.rezekinya kali yaa cmn kapan gitu rezekinya wkwk tapi yaudah lag ga baik paksaain juga jdi aku hapus aja semoga di mnapun aku segera kerja,ga ngerti knpa blm oanggipan gitu udh hambis tahun pake apk cmn ga tau blmrezekinya kali yaa cmn gitu rezeki wkwk yaudah lag ga paksaain jdi hapus aja moga mnapun kerja,negatif,negatif,negatif,negatif,negatif
"Saya mampu bekerja bersama team maupun individu, saya juga bekerja dengan inteligency, mampu mengelola emosional serta komitmen dalam mencapai target. Trimakasih",team individu inteligency kelola emosional komitmen capai target trimakasih,positif,positif,positif,positif,positif
Ok,ok,positif,positif,positif,positif,positif
Kenapa gabisa dibuka sih? Tulisannya selalu “We're working on it” jelek bgt nih aplikasi,gabisa buka sih tulis were working on it jelek bgt nih aplikasi,negatif,negatif,negatif,negatif,negatif
Server lg down ya?,server lg down ya,positif,positif,negatif,positif,negatif
Sangat membantu banget,bantu banget,positif,positif,positif,positif,positif
APK KEBANYAKAN BUG!!,apk banyak bug,negatif,negatif,negatif,negatif,negatif
Good job sangat membantu untuk pencari pekerjaan,good job bantu cari kerja,positif,positif,positif,positif,positif
"min ini kenapa ya apk nya, apakah lagi ada masalah dengan aplikasi nya kok gabisa masuk ya? mohon jawabnnya",min ya apk nya aplikasi nya gabisa masuk ya mohon jawabnnya,negatif,negatif,negatif,negatif,negatif
Setiap apply loker tapi gak ada tanggapan dari perusahaan. Entah itu ditolak. Atau diterima. Buang2 waktu. Untuk kalian para pelamar. Berhati2 sama perusahaan bodong. Karena mereka hanya mengumpulkan data pribadi. Tanpa ada kejelasan..,apply loker gak tanggap usaha tolak terima buang2 lamar berhati2 usaha bodong kumpul data pribadi jelas,negatif,negatif,negatif,negatif,negatif
sudah 3 hari aplikasi jobstreet tidak bisa diakses dari tanggal 22 Agustus 2024 sampai hari ini 24 agustus 2024,3 aplikasi jobstreet akses tanggal 22 agustus 2024 24 agustus 2024,negatif,negatif,negatif,negatif,negatif
ga bisa login,ga login,negatif,negatif,negatif,negatif,negatif
Sangat bermanfaat,manfaat,positif,positif,positif,positif,positif
Sangat bagus,bagus,positif,positif,positif,positif,positif
Gak jelas aplikasi nya pengen ngeliat yang dilamar gak bisa kebuka,gak aplikasi nya ken ngeliat lamar gak buka,negatif,negatif,negatif,negatif,negatif
Keren,keren,positif,positif,positif,positif,positif
"ya Allah banyak bgt loker palsu, penipuan, ngeselin bgt. ada juga yg nulis fasilitas gak ngotak. serius deh di jaman sekarang ini segala platform kok isinya orang jahat semua. tolong donk dimanage apa gimana gt biar yg naroh loker beneran ada. bukan perusahaan fiktif yg kalo dimasukin gmaps malah isinya aneh2 developer gercep nanggepin.",ya allah bgt loker palsu tipu ngeselin bgt yg nulis fasilitas gak ngotak serius deh jaman platform isi orang jahat tolong donk dimanage gimana gt biar yg naroh loker beneran usaha fiktif yg kalo dimasukin gmaps isi aneh2 developer gercep nanggepin,positif,negatif,negatif,positif,negatif
Udah punya akun dan udh biasa pake apk ini tp smlm pas login gabisa malah eror dan smpe skrg gabisa dipake akunnya cobq bkin akun baru gabisa aneh ni apk,udah akun udh pake apk tp smlm pas login gabisa eror smpe skrg gabisa dipake akun cobq bkin akun gabisa aneh ni apk,negatif,negatif,negatif,negatif,negatif
"Pengembang aplikasi tidak merespon review secara benar dengan topik dan hanya menjawab dengan robot. Fitur filter ""urutkan berdasarkan"", dan ""Tanggal posting""sebaiknya ditampilkan pada awal pencarian. Tolong tingkatkan kualitas isi lowongan dengan standarisasi detail lokasi perusahaan yang jelas",kembang aplikasi merespon review topik robot fitur filter urut dasar tanggal postingsebaiknya tampil cari tolong tingkat kualitas isi lowong standar detail lokasi usaha,negatif,negatif,negatif,negatif,negatif
bagus...utk para pelamar kerja,bagusutk lamar kerja,positif,positif,positif,positif,positif
Keren lokernya masuk di akal dan banyak terpercaya,keren lokernya masuk akal percaya,positif,positif,positif,positif,positif
"Dari Jobstreet saya pernah mendapat pekerjaan di perusahaan besar Internasional di JakSel. Bahkan tanpa menunggu waktu yang lama, kurang dari 1 bulan dapetnya. Jobstreet sangat membantu, keren. Terima kasih.",jobstreet kerja usaha internasional jaksel tunggu 1 dapetnya jobstreet bantu keren terima kasih,positif,positif,positif,positif,positif
Sangat membantu,bantu,positif,positif,positif,positif,positif
Op alat berat,op alat berat,positif,positif,positif,positif,positif
Sangat membantu sekali,bantu,positif,positif,positif,positif,positif
Sangat membantu,bantu,positif,positif,positif,positif,positif
Aplikasi gak jelas disuruh masukin akun google malah error urus dulu itu aplikasi nya banyak bug,aplikasi gak suruh masukin akun google error urus aplikasi nya bug,negatif,negatif,negatif,negatif,negatif
Admin...ini gimana ya tdk bisa login ke akun..sudah diulang2 tetap tdk bisa...jadinya hapus aplikasi download lagi tetap tdk bisa Ganti email login juga tdk bisa masuk ke profil..,adminini gimana ya tdk login akunsudah diulang2 tdk bisajadinya hapus aplikasi download tdk ganti email login tdk masuk profil,negatif,negatif,negatif,negatif,negatif
Nice Jobstree go to the my Jobs,nice jobstree go to the my jobs,positif,positif,positif,positif,positif
Operator produksi PT cable ztt Operator produksi pabrik spinning PT yamatex,operator produksi pt cable ztt operator produksi pabrik spinning pt yamatex,positif,positif,positif,positif,positif
Bermanfaat,manfaat,positif,positif,positif,positif,positif
Apliksi ya bagus dan sangat membatu,apliksi ya bagus batu,positif,positif,positif,positif,positif
Sandat bermanfaat,sandat manfaat,positif,positif,positif,positif,positif
ok selesai,ok selesai,positif,positif,positif,positif,positif
"Sangat bermanfaat untuk yang memiliki pengalaman kerja, GOOD",manfaat milik alam kerja good,positif,positif,positif,positif,positif
Ok.. Dicoba Diproses Dinyatakan Dipertimbangkan Diperhatikan.,ok coba proses nyata timbang perhati,positif,positif,positif,positif,positif
"Sekarang aplikasi jobstreet banyak penipuan,kenapa kaga kaya dulu ya cari kerja gampang di aplikasi jobstreet",aplikasi jobstreet penipuankenapa kaga kaya ya cari kerja gampang aplikasi jobstreet,negatif,negatif,negatif,negatif,negatif
"Saya udah berusaha apply pekerjaan di jobstreet tapi yang gini hasilnya....selalu gak ada kabar dan kejelasan dari perusahaan...sudah capek melamar dan menunggu hasilnya diterima atau tidak....tapi ya begini....main asal tutup-tutup aja perusahaannya....Saya jujur aja sudah sangat sedih, menangis dan kecewa sama jobstreet...tidak ada kejelasan sama sekali....Saya berhenti saja untuk Apps ini....tidak bisa membantu",udah usaha apply kerja jobstreet gin hasilnyaselalu gak kabar jelas perusahaansudah capek lamar tunggu hasil terima tidaktapi ya beginimain tutuptutup aja perusahaannyasaya jujur aja sedih menang kecewa jobstreettidak jelas sekalisaya henti apps initidak bantu,negatif,negatif,negatif,negatif,negatif
Udah lamar di banyak di aplikasi ini. Pengalaman ada tapi selalu gak ada panggilan heran nyesel sih donwload,udah lamar aplikasi alam gak panggil heran nyesel sih donwload,negatif,negatif,negatif,negatif,negatif
Lumayan membantu dlm pencarian job 🙂,lumayan bantu dlm cari job,positif,positif,positif,positif,positif
"ngegelar lowongan kok ujung""nya tutup mulu, padahal banyak orang yg berharap bisa dapat kerjaan dari aplikasi ini loh",ngegelar lowong ujung tutup mulu orang yg harap kerja aplikasi loh,negatif,negatif,negatif,negatif,negatif
Mantap Caur:),mantap caur,positif,positif,positif,positif,positif
"Hati- hati sekarang melamar dijobstreet sudah banyak penipuan, gaji yg tertera tidak sesuai... Pas Sudah datang jauh2 untuk interview diinfo bahwa tidak ada gajinya.. Buang2 waktu saja, penipuan .",hati hati lamar dijobstreet tipu gaji yg tera sesuai pas jauh2 interview info gaji buang2 tipu,negatif,negatif,negatif,negatif,negatif
"Aplikasi gajelas tiap yg di lamar sudah tutup, trus ngapain di posting, Mending aplikasi glints lebih bagus real",aplikasi gajelas yg lamar tutup trus ngapain posting mending aplikasi glints bagus real,negatif,negatif,negatif,negatif,negatif
Selalu error saat digunakan,error,negatif,negatif,negatif,negatif,negatif
Temukan di perusahaan PT pabrik sawit seluruh Indonesia dan di pelosok2. Karenah banyak perusahaan yg tidak ada di jobstreet,temu usaha pt pabrik sawit indonesia pelosok2 karenah usaha yg jobstreet,negatif,negatif,positif,negatif,negatif
"Aplikasinya bagus tapi ada beberapa perusahaan bodong/penipuan, perlu di ketatin proses pembukaan lowongan kerja dari perusahaannya, soalnya saya kena 2 perusahaan bodong/penipuan nama perusahaannya jga beda², untung saya cari tau dlu😌",aplikasi bagus usaha bodongpenipuan ketatin proses buka lowong kerja usaha kena 2 usaha bodongpenipuan nama usaha jga beda untung cari tau dlu,negatif,negatif,negatif,negatif,negatif
Mau tanya kenapa saya tidak bisa ganti email yang saya daftarkan di akun jobstreet saya?,ganti email daftar akun jobstreet,negatif,negatif,negatif,negatif,negatif
Semoga bnyak yg dapat kerja di aplikasi ini,moga bnyak yg kerja aplikasi,positif,positif,positif,positif,positif
"bagus, tapi 50% job scam",bagus 50 job scam,positif,positif,negatif,positif,negatif
Aplikasi jobstreet sangat bagus...penghubung antara pencari kerja dgn perusahaan..tapi kenapa aplikasi jobstreet qu tdk bisa login utk kirim lamaran kerja..,aplikasi jobstreet baguspenghubung cari kerja dgn perusahaantapi aplikasi jobstreet qu tdk login utk kirim lamar kerja,positif,positif,positif,positif,positif
Posisi terakhir sebagai HRGA/ HC di TMT Group Trakindi,posisi hrga hc tmt group trakindi,positif,positif,positif,positif,negatif
gajelas. gapernah ada kelanjutan setelah di apply,gajelas gapernah lanjut apply,negatif,negatif,negatif,negatif,negatif
"Semangat buat para pencari kerja, semoga kita semua selalu di berikan kekuatan untuk menjalani kerasnya hidup ini. Salam sukses selalu.",semangat cari kerja moga kuat jalan keras hidup salam sukses,positif,positif,positif,positif,positif
"Kenapa masih banyak oknum"" penipuan tentang lowongan kerja ,kita"" ini beneran cari kerja ,berharap dapet kerjaan jauh"" datang sana sini allhasil di tipu juga hmmm",oknum tipu lowong kerja beneran cari kerja harap dapet kerja allhasil tipu hmmm,positif,negatif,negatif,positif,negatif
Cari pekerjaan,cari kerja,positif,positif,positif,positif,positif
"Jobstreet sekarang sama jobstreet versi yang dulu mending versi yang dulu , soalnya versi yang sekarang banyak lowongan yang palsu/hoak",jobstreet jobstreet versi mending versi versi lowong palsuhoak,negatif,negatif,negatif,negatif,negatif
kagak ngerti lagi gw,kagak ngerti gw,negatif,negatif,negatif,negatif,negatif
"Apk nya sudah bagus, tapi tolong di tingkatkan lagi atau ditambah opsi untuk lokasi lowongan kerja nya, harus di filter benar-benar satu kota/provinsi itu saja yg sedang di cari loker nya, soalnya walaupun nyari loker di satu kota tapi muncul nya kota lain, tidak prefer satu kota saja.",apk nya bagus tolong tingkat tambah opsi lokasi lowong kerja nya filter benarbenar kotaprovinsi yg cari loker nya nyari loker kota muncul nya kota prefer kota,negatif,negatif,negatif,negatif,negatif
"tolong perbaiki sistem nya, banyak bngt lowongan penipuan, saya baru bngun kena penipuan karena lowongan ini, mohon perbaiki lgi,",tolong baik sistem nya bngt lowong tipu bngun kena tipu lowong mohon baik lgi,negatif,negatif,negatif,negatif,negatif
"di aplikasi jobstreet terlalu banyak banget perusahaan PENIPU, undangan interview diruko ruko, masa dapet email undangan interview 3 perusahaan lokasi nya sama semua logistik/cargo,produksi manufaktur sama restoran itu semua lokasi sama interview nya wkwkwk ujung ujung nya disuruh bayar wkwkwk kocak",aplikasi jobstreet banget usaha tipu undang interview ruko ruko dapet email undang interview 3 usaha lokasi nya logistikcargoproduksi manufaktur restoran lokasi interview nya wkwkwk ujung ujung nya suruh bayar wkwkwk kocak,negatif,negatif,negatif,negatif,negatif
Eror,eror,negatif,negatif,negatif,negatif,negatif
Ok,ok,positif,positif,positif,positif,positif
"Kok di jobstreet bisa lolos ya lowongan yang menamakan atas nama PT yang penipuan Dan masih ada lowongan penipuan Alamat nya masuk dalam list penipuan Dan status perusahaan yang telah di tutup di apdet dong min Biar ilang setiap lamar keterangan nya telah di tutup terus sekali nya dapet, Dapet yang penipuan Semoga kedepannya jobstreet bisa lebih ketat lagi dan apdet Tetang info lowongan pekerjaan nya Terimakasih",jobstreet lolos ya lowong nama nama pt tipu lowong tipu alamat nya masuk list tipu status usaha tutup apdet min biar ilang lamar terang nya tutup nya dapet dapet tipu moga depan jobstreet ketat apdet tetang info lowong kerja nya terimakasih,negatif,negatif,negatif,negatif,negatif
We are engineer working not just by skill but just with believed with HIM...,we are engineer working not just by skill but just with believed with him,positif,positif,positif,positif,negatif
"Gimana sih banyak perusahaan yang kadaluwarsa,tapi nongol lagi,payah g update",gimana sih usaha kadaluwarsatapi nongol lagipayah g update,negatif,negatif,negatif,negatif,negatif
Vasilitas,vasilitas,positif,positif,positif,positif,positif
Sangat membantu,bantu,positif,positif,positif,positif,positif
"Cara upload foto profil gimana si, udah searching gaada yang membantu sama sekali",upload foto profil gimana si udah searching gaada bantu,negatif,negatif,negatif,negatif,negatif
Anda menjual data nomor hp saya di orang2 yah? Knp saya dapat Chat WA yg menawarkan lowongan kerja asal-asalan 😡😢😢,jual data nomor hp orang2 yah knp chat wa yg tawar lowong kerja asalasalan,negatif,negatif,negatif,negatif,negatif
Hapussampa,hapussampa,positif,positif,positif,positif,positif
Terlalu banya oknum penipu di aplikasi.,banya oknum tipu aplikasi,negatif,negatif,negatif,negatif,negatif
Tingkat kualitas,tingkat kualitas,positif,positif,positif,positif,positif
Very well,very well,positif,positif,positif,positif,positif
Melamar pekerjaan harus lamar lewat apk jobstreet yang ijo jadinya dua kalii donlod hadehhh,lamar kerja lamar apk jobstreet ijo kali donlod hadehhh,negatif,negatif,negatif,negatif,positif
"Dear Jobstreet,saya harap anda tidak melakukan pengalihan link/website disaat melamat pekerjaan,saya menggunakan jobstreet untuk bisa melamar pekerjaan langsung tanpa harus masuk ke website/link url pada perusahaan tsb.Anda sebagai perantara pihak kedua bukan pihak ke tiga dari lowongan kerja yang di informasikan.Jika anda seperti itu trus dapat dipastikan pengguna lebih baik langsung ke website perusahaan atau ke aplikasi yang serupa dengan anda tanpa harus melalui jobstreet.",dear jobstreetsaya harap alih linkwebsite saat melamat pekerjaansaya jobstreet lamar kerja langsung masuk websitelink url usaha tsbanda antara lowong kerja informasikanjika trus guna langsung website usaha aplikasi jobstreet,negatif,negatif,negatif,negatif,negatif
Good,good,positif,positif,positif,positif,positif
Info lowongan pekerjaan buat usia diatas 30th tolong di infokan pula. Makasih,info lowong kerja usia atas 30th tolong info makasih,positif,positif,positif,positif,positif
Hati-hati data anda dijual kepihak lain,hatihati data jual pihak,negatif,negatif,negatif,negatif,negatif
"Sekarang banyak lowongan yang tidak bisa langsung apply, tapi dialihkan ke website lain atau jobstreet express.",lowong langsung apply alih website jobstreet express,negatif,negatif,negatif,negatif,positif
